Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
PUT	Putnam	10281	08/30/2016	2016 Primary Election	29	St Johns River State College	772	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	29	St Johns River State College	772	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	29	St Johns River State College	772	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	14
PUT	Putnam	10281	08/30/2016	2016 Primary Election	29	St Johns River State College	772	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	45
PUT	Putnam	10281	08/30/2016	2016 Primary Election	29	St Johns River State College	772	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	4
PUT	Putnam	10281	08/30/2016	2016 Primary Election	3	Beulah Baptist Church	1424	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	3	Beulah Baptist Church	1424	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	12
PUT	Putnam	10281	08/30/2016	2016 Primary Election	3	Beulah Baptist Church	1424	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	85
PUT	Putnam	10281	08/30/2016	2016 Primary Election	3	Beulah Baptist Church	1424	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	90
PUT	Putnam	10281	08/30/2016	2016 Primary Election	3	Beulah Baptist Church	1424	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	57
PUT	Putnam	10281	08/30/2016	2016 Primary Election	30	St Johns River State College	339	17410	0	0	State Representative	District 19	260191	OverVotes		0	901	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	30	St Johns River State College	339	17410	0	0	State Representative	District 19	260191	UnderVotes		0	902	0
PUT	Putnam	10281	08/30/2016	2016 Primary Election	30	St Johns River State College	339	17410	0	0	State Representative	District 19	260191	Katherine Van Zant	REP	100751342	64457	19
PUT	Putnam	10281	08/30/2016	2016 Primary Election	30	St Johns River State College	339	17410	0	0	State Representative	District 19	260191	Bobby Payne	REP	107495730	64619	43
PUT	Putnam	10281	08/30/2016	2016 Primary Election	30	St Johns River State College	339	17410	0	0	State Representative	District 19	260191	Leslie Dougher	REP	102815637	64792	7
